ꀀ | Chinese: 1. pron. 我的（引述式） | 2. v. (1) 有；存在（多指房屋或容器中有某物） (2) 居住 (3) 睡觉
ꀀ ꀕ | Chinese: 1. pron. 我自己（引述式）
ꈌ ꃅ ꉐ ꌒ | Chinese: 1. adj. 轻言细语；和婉
ꈌ ꃨ | Chinese: 1. n. 好猎犬
ꈌ ꃴ ꉐ ꃴ ꋩ | Chinese: 1. adj. 舌敝唇焦
ꈌ ꃶ | Chinese: 1. n. 疯狗
ꈌ ꄀ | Chinese: 1. v. 预定（亲事）
ꈌ ꄸ ꉻ | Chinese: 1. n. 西北
ꈌ ꆓ ꌗ ꉘ | Chinese: 1. adj. 轻言细语；言语温和
ꈌ ꆫ ꑓ ꃨ | Chinese: 1. v. 观看；参观
ꈌ ꆹ ꂿ ꉘ | Chinese: 1. n. 作礼物的食品（多指小辈给长辈吃的）
ꈌ ꆹ ꎷ | Chinese: 1. v. 顶嘴（小辈对长辈）
ꈌ ꇑ | Chinese: 1. v. 插嘴；打岔；插话 | 2. adj. 性烈（多指马不听指挥，嚼子勒不住它）
ꈌ ꇮ ꉐ ꑌ | Chinese: 1. adj. 嘴甜；嘴乖
ꈌ ꈘ ꉏ ꊴ | Chinese: 1. adj. 口齿清楚
ꈌ ꈻ | Chinese: 1. v. 背诵
ꈌ ꈻ ꉏ ꑣ | Chinese: 1. v. 试探
ꈌ ꉩ | Chinese: 1. adj. 哭穷
ꈌ ꉻ | Chinese: 1. n. 针眼（眼皮上长的疮）
ꈌ ꊏ ꉐ ꅰ | Chinese: 1. v. 诱骗
ꈌ ꊪ | Chinese: 1. v. 对证；对质
ꈌ ꊰ | Chinese: 1. v. (1) 认错（某事做错了） (2) 服输；投降
ꈌ ꊱ | Chinese: 1. adj. 满（齐口）（指容器盛物满盈）
ꈌ ꋊ | Chinese: 1. v. 开口；开腔
ꈌ ꋍ ꄐ | Chinese: 1. v. 责备
ꈌ ꌉ ꑟ | Chinese: 1. v. 逗气（指人在生气时，用言语刺他，使其气上加气）
ꈌ ꌋ | Chinese: 1. v. 打猎
ꈌ ꍓ ꑓ ꍓ | Chinese: 1. adj. 夸口；吹牛
ꈌ ꍚ ꉏ ꑻ | Chinese: 1. adj. 奉承；讨好
ꈌ ꍬ | Chinese: 1. v. 人云亦云
ꈌ ꍽ | Chinese: 1. n. 麻雀
ꈌ ꎴ ꉏ ꎴ | Chinese: 1. adj. 长舌
ꈌ ꎸ | Chinese: 1. n. 跳蚤
ꈌ ꏢ ꉐ ꇋ | Chinese: 1. v. 训斥；堵嘴
ꈌ ꐚ | Chinese: 1. v. (1) 作响；发声 (2) 口吃；结巴
ꈌ ꑌ | Chinese: 1. v. 做主
ꈌ ꑌ ꉐ ꐈ | Chinese: 1. v. （用言语）逗弄；逗引
ꈌ ꒉ | Chinese: 1. adj. （有所倚仗而）口气大；言过其实
ꈌ ꒉ ꑓ ꈩ | Chinese: 1. adj. 眉开眼笑；笑逐颜开
ꈍ | Chinese: 1. v. (1) 衔（轻咬） (2) （猪大口）吞
ꈍ ꁯ | Chinese: 1. v. 舌疳（婴儿舌头上生的小白点疮）
ꈍ ꃀ | Chinese: 1. n. 母狗
ꈍ ꃅ | Chinese: 1. pron. 怎样；如何
ꈍ ꄃ | Chinese: 1. adj. 口讷（说话缓慢）
ꈍ ꄮ | Chinese: 1. pron. 何时；什么时候
ꈍ ꈐ | Chinese: 1. n. 以内（指时间；地界）
ꈍ ꉈ | Chinese: 1. n. 以外；以远（指时间、地界）
ꈍ ꉐ | Chinese: 1. n. （某地）以上
ꈍ ꉗ | Chinese: 1. pron. 多久；多长时间
ꈍ ꌺ | Chinese: 1. n. 小狗；狗崽
ꈍ ꎞ | Chinese: 1. n. 格言
ꈍ ꐮ | Chinese: 1. pron. 多宽
ꈍ ꐯ | Chinese: 1. n. （某地）以下
ꈍ ꑋ | Chinese: 1. pron. 多少
ꈍ ꒈ | Chinese: 1. pron. 多大
ꈎ | Chinese: 1. n. 年 | 2. v. (1) 弯；蜷曲（使动） (2) 赶（将牲畜，赶回等） (3) 扣除；扣还 (4) 低（头）
ꈎ ꀨ | Chinese: 1. n. 年初；元旦
ꈎ ꄜ | Chinese: 1. n. 年纪；年龄
ꈎ ꊌ | Chinese: 1. v. 享年；终年
ꈎ ꌋ | Chinese: 1. v. 算命
ꈎ ꏅ | Chinese: 1. v. 过年；过新年
ꈏ ꄅ | Chinese: 1. n. 内部；内层
ꈏ ꇓ | Chinese: 1. n. 内部
ꈏ ꇤ ꊋ ꇤ | Chinese: 1. v. 鼓足干劲
ꈏ ꈱ | Chinese: 1. v. 盗窃；偷；扒
ꈏ ꉻ | Chinese: 1. n. 内部（多指国内、人内部等）
ꈏ ꊋ | Chinese: 1. n. (1) 力气；力量 (2) 实力
ꈐ | Chinese: 1. v. (1) 偷 (2) 袒护；偏袒 | 2. n. 内
ꈐ ꇿ ꏿ | Chinese: 1. v. （心中）暗喜
ꈐ ꊎ ꊋ ꊐ | Chinese: 1. v. 鼓励
ꈐ ꏭ | Chinese: 1. n. 里面
ꈐ ꏿ | Chinese: 1. v. 偷袭；袭击
ꈑ | Chinese: 1. v. (1) 垫（高，垫着等） (2) 盘 | 2. cl. 绞（线）；桄（多指线等）
ꈑ ꅪ | Chinese: 1. n. 灰烬
ꈑ ꆠ | Chinese: 1. n. 炭灰
ꈑ ꇙ | Chinese: 1. v. 蜷缩
ꈑ ꈥ | Chinese: 1. n. 灰烬
ꈑ ꋍ | Chinese: 1. n. 尘土
ꈑ ꋧ | Chinese: 1. n. 灰尘
ꈓ | Chinese: 1. v. 填（鸭） | 2. n. (1) 木盔（彝族盛菜器） (2) 年；岁
ꈓ ꁱ ꀀ ꌒ | Chinese: 1. n. （木制带花的）餐具（泛指）（文学语）
ꈓ ꃃ | Chinese: 1. n. 木盔（有盖子）
ꈓ ꃃ ꌺ | Chinese: 1. n. 小木盔
ꈓ ꋦ | Chinese: 1. n. 木盔（木制餐具，主要用来装汤）
ꈔ | Chinese: 1. v. (1) 败 (2) 绝（根）；绝（种） (3) 烂 (4) （庄稼）歉收
ꈔ ꁮ | Chinese: 1. adj. 精灵；机灵
ꈔ ꈤ | Chinese: 1. v. 灭亡：没有后代；再也不会出来
ꈔ ꋏ | Chinese: 1. v. 消灭；歼灭
ꈔ ꌋ | Chinese: 1. adj. 怪（与众不同）
ꈘ | Chinese: 1. v. (1) （自）断 (2) 断（粮、水等） (3) 停（指雨） | 2. adj. (1) 通晓 (2) 通达；明智；（头脑）清醒
ꈘ ꆽ | Chinese: 1. n. (1) 零碎；零散 (2) 零钱
ꈚ | Chinese: 1. cl. 处；地点 | 2. v. 穿（自动）；披；盖 | 3. adj. 富裕
ꈚ ꅍ | Chinese: 1. n. 穿的
ꈛ ꀑ ꋩ | Chinese: 1. adj. 死胡同；绝路
ꈛ ꁧ | Chinese: 1. n. 路边；路旁
ꈛ ꄵ | Chinese: 1. v. （路旁）埋伏
ꈛ ꅤ | Chinese: 1. v. 爬
ꈛ ꆈ | Chinese: 1. n. 邪路
ꈛ ꆽ ꈪ | Chinese: 1. n. 拐弯；转弯
ꈛ ꈯ | Chinese: 1. v. （牲口途中）受惊；惊动
ꈛ ꈷ | Chinese: 1. v. （用阻碍物）拦路
ꈛ ꋦ | Chinese: 1. n. 当道（指住在路旁）
ꈛ ꌎ | Chinese: 1. n. 小路
ꈛ ꌬ | Chinese: 1. v. 拦路阻击
ꈛ ꎂ | Chinese: 1. adj. 捷径；捷路
ꈛ ꎆ | Chinese: 1. adj. 出饭；出数（指米长饭）
ꈛ ꎭ | Chinese: 1. adj. 险路难走 | 2. v. 送
ꈛ ꎼ | Chinese: 1. v. 走路
ꈛ ꏦ | Chinese: 1. n. 路线
ꈛ ꐞ | Chinese: 1. n. 分路
ꈛ ꑀ | Chinese: 1. v. （人）爬行
ꈛ ꑌ | Chinese: 1. adj. 近；路近
ꈜ | Chinese: 1. n. (1) 路 (2) 路程 (3) 纹路 | 2. v. (1) 走（路） (2) 挡 (3) 捞；滤；篦
ꈜ ꀕ | Chinese: 1. adv. 更加
ꈜ ꀕ ꇈ | Chinese: 1. adv. 特别是；尤其是
ꈜ ꀦ | Chinese: 1. n. 正路
ꈜ ꀦ ꒃ | Chinese: 1. v. 上路；上了大路
ꈜ ꈴ | Chinese: 1. v. 过往；过路
ꈜ ꈼ | Chinese: 1. adj. （天）冷
ꈜ ꉐ | Chinese: 1. n. 路的上边
ꈜ ꋋ | Chinese: 1. v. 堵路
ꈜ ꌒ | Chinese: 1. adj. 好走的路；坦途
ꈜ ꎴ | Chinese: 1. adj. 远；路远
ꈜ ꏁ | Chinese: 1. v. 领路；带路
ꈜ ꏆ | Chinese: 1. v. 让路
ꈜ ꏮ | Chinese: 1. adj. 绕道；绕路
ꈜ ꐎ | Chinese: 1. n. 正路
ꈜ ꐙ | Chinese: 1. aux. 会
ꈜ ꐯ | Chinese: 1. n. 路下；路的下边
ꈜ ꑽ | Chinese: 1. n. 稀客！ | 2. v. 走错（路）
ꈝ ꃀ | Chinese: 1. n. 路
ꈝ ꃀ ꈢ | Chinese: 1. n. 中途；半路上
ꈝ ꏦ | Chinese: 1. n. 奴隶族（古代彝族社会中
ꈝ ꐮ | Chinese: 1. adj. (1) 容易 (2) 便宜
ꈠ | Chinese: 1. v. (1) 耙 (2) 毒打 (3) 绷（兽皮） | 2. n. 耙子 | 3. adv. 迈开（大步）
ꈠ ꃶ | Chinese: 1. n. 锁骨
ꈠ ꄂ ꄲ | Chinese: 1. v. （因冷）起疙瘩
ꈠ ꅋ ꃹ | Chinese: 1. adj. 寒汽沁人
ꈠ ꆺ | Chinese: 1. adj. 冻；哆嗦
ꈠ ꆺ ꀨ | Chinese: 1. adj. 冻僵
ꈠ ꏿ | Chinese: 1. v. 冷（使动）
ꈠ ꐛ | Chinese: 1. v. 冷却
ꈢ | Chinese: 1. v. (1) 关；闭；关闭 (2) 阻隔（多指谁、山岩等） (3) 痛（多指肚子、关节、腰等）；酸痛 (4) 扛 | 2. adj. 刺耳；聒耳；聒
ꈢ ꇓ | Chinese: 1. n. 障碍物
ꈢ ꈐ | Chinese: 1. n. 山这边；山内
ꈢ ꉈ | Chinese: 1. n. 山那边；山外
ꈢ ꋒ | Chinese: 1. v. 过去；（做）过；完成
ꈢ ꏢ | Chinese: 1. adj. 疼痛（多指肚子、关节、胃等）
ꈤ | Chinese: 1. v. (1) 出圈（指早上将牲畜从圈中放出去）；放出 (2) 量 (3) 分支 (4) 辫（成串） | 2. adj. (1) 消瘦 (2) 磨损 (3) 尽；光 | 3. cl. (1) 串 (2) 床；架 (3) （婚丧嫁娶和祭祖筵席）场合 | 4. n. 静脉管；血脉
ꈣ | Chinese: 1. cl. (1) 串 (2) 床；架 (3) （婚丧嫁娶和祭祖筵席）场合
ꈤ ꄓ ꆫ ꄓ | Chinese: 1. v. 春耕
ꈤ ꇇ | Chinese: 1. n. （放炊具的）木架
ꈤ ꏠ | Chinese: 1. adj. 消瘦（多指人）
ꈥ | Chinese: 1. v. 蹚（水）；涉（水） | 2. adj. (1) 空；寡（蛋） (2) 松动（多指牙或水桶等木制用具） | 3. cl. 块（地） | 4. n. 鸿雁
ꈥ ꅇ | Chinese: 1. n. 虚词
ꈥ ꇉ ꈣ ꇉ | Chinese: 1. adj. (1) （多指用水桶等木制用具）松松垮垮 (2) 肚子空荡荡；肚中无食（多指牛）
ꈥ ꇤ | Chinese: 1. adj. （房子容器中）空空
ꈥ ꑌ ꈢ ꑌ | Chinese: 1. adj. （肚子）隐痛
ꈦ ꇗ | Chinese: 1. n. 旮旯；角落
ꈧ ꅐ | Chinese: 1. n. 东方（文学语）
ꈧ ꆈ | Chinese: 1. adj. 深灰色（多指绵羊）
ꈧ ꊰ ꀕ | Chinese: 1. adj. 可怜 | 2. adv. 难为
ꈧ ꌺ | Chinese: 1. n. 太阳（文学语）
ꈧ ꐚ | Chinese: 1. adj. 瘦
ꈨ | Chinese: 1. cl. 些 | 2. v. 听见 | 3. n. 太阳（文学语）
ꈧ | Chinese: 1. cl. 些 
ꈨ ꅍ | Chinese: 1. n. 消息
ꈨ ꈴ | Chinese: 1. adj. 普遍听到；家喻户晓
ꈨ ꐚ | Chinese: 1. v. 听清楚
ꈨ ꑌ | Chinese: 1. n. 传说中的神“老天爷”（表示无可奈何的感情）
ꈩ | Chinese: 1. v. (1) 玩；耍 (2) 戏弄（动手动脚）
ꈩ ꀜ | Chinese: 1. v. 玩耍
ꈩ ꂥ | Chinese: 1. n. 寿衣
ꈩ ꅍ | Chinese: 1. n. (1) 玩具 (2) （开）玩笑
ꈩ ꐔ ꁏ | Chinese: 1. v. （开玩笑而）崩（了）；吵翻
ꈪ | Chinese: 1. v. (1) 缝 (2) 弯曲；不正当的 (3) 阉；劁（鸡；猪；羊等） (4) 返回 (5) 退还（东西） | 2. adj. 勤俭
ꈪ ꄙ | Chinese: 1. n. 中心；中间
ꈪ ꇗ | Chinese: 1. n. 角落
ꈪ ꊰ | Chinese: 1. adj. 节俭
ꈪ ꏂ | Chinese: 1. adj. 孤僻
ꈪ ꑌ | Chinese: 1. adj. (1) 勤劳 (2) 节俭 (3) 改邪归正（安分守己）
ꈫ ꁁ | Chinese: 1. num. 一半；半拉
ꈫ ꈈ | Chinese: 1. adj. 巩固；牢固
ꈬ | Chinese: 1. num. 九 | 2. cl. (1) 件（衣服）；条（裤） (2) 场合（婚丧嫁娶和祭祖筵席） | 3. adj. （捆）牢；结实；牢固 | 4. n. (1) 血管 (2) 中间
ꈫ | Chinese: 1. cl. (1) 件（衣服）；条（裤） (2) 场合（婚丧嫁娶和祭祖筵席）
ꈬ ꀧ | Chinese: 1. v. 扭伤筋
ꈬ ꄔ | Chinese: 1. n. 中间
ꈬ ꄗ | Chinese: 1. v. 抽筋；痉挛
ꈬ ꄱ ꆐ | Chinese: 1. v. 重创（因疾病体质严重下降）
ꈬ ꆸ | Chinese: 1. adv. 整个；整块
ꈬ ꆹ | Chinese: 1. v. （狗）发情
ꈬ ꇬ | Chinese: 1. adv. 当中
ꈬ ꉘ | Chinese: 1. n. 高山
ꈬ ꍫ | Chinese: 1. v. 能憋屎尿；尿稀少
ꈬ ꏈ | Chinese: 1. adj. 筋骨精力充沛
ꈬ ꐙ | Chinese: 1. adj. 干枯；蔫
ꈬ ꑳ | Chinese: 1. n. 筋
ꈭ | Chinese: 1. cl. 次；遍 | 2. v. (1) 绾；盘绕（成圈） (2) 蹚（水）；涉（水） | 3. n. 鸿雁
ꈭ ꀕ ꇍ ꀕ | Chinese: 1. v. 周围
ꈭ ꃰ | Chinese: 1. adj. 头晕目眩（多指高处往下看时）
ꈭ ꄵ ꈛ ꎤ | Chinese: 1. v. 守路；阻击
ꈭ ꅐ | Chinese: 1. v. (1) 脱险 (2) 熬出头（从困难的环境中解脱出来）
ꈭ ꈜ | Chinese: 1. n. (1) 路；路子 (2) 交通
ꈭ ꊱ | Chinese: 1. n. 秋雨连绵；雨季
ꈭ ꋍ ꈜ ꇈ | Chinese: 1. v. 阻挡；阻碍
ꈭ ꋏ | Chinese: 1. v. 救；挽救
ꈭ ꏂ | Chinese: 1. n. 鸿雁（天鹅）
ꈭ ꏝ | Chinese: 1. n. 周年；周岁
ꈭ ꐨ | Chinese: 1. conj. …之后；…以后（不能单用）
ꈮ ꈜ | Chinese: 1. adj. 热情；热烈
ꈮ ꑆ | Chinese: 1. adj. （子实）饱满
ꈯ | Chinese: 1. v. (1) 绊 (2) 护 | 2. adv. 受惊；吓（跑） | 3. adj. (1) （子实）饱满 (2) 结实而灵活
ꈯ ꄜ | Chinese: 1. n. (1) 核心 (2) 正中；中心（多指地区）
ꈯ ꄿ | Chinese: 1. n. 身体；个子
ꈯ ꐭ | Chinese: 1. adj. (1) 胆怯；怯场 (2) 自卑
ꈯ ꑌ | Chinese: 1. v. 潜伏（多指病的潜伏期）
ꈰ ꏅ | Chinese: 1. v. 造谣
ꈱ | Chinese: 1. v. 说谎；撒谎
ꈱ ꀖ | Chinese: 1. v. 揭穿谎言
ꈱ ꁖ | Chinese: 1. v. 暴露
ꈱ ꅇ | Chinese: 1. n. 谎言；谣言
ꈲ | Chinese: 1. adj. (1) 有利；有益；有滋补 (2) 滋养
ꈲ ꏣ | Chinese: 1. n. 益处；利益
ꈲ ꐪ | Chinese: 1. adj. 益处；利益
ꈳ ꅐ | Chinese: 1. v. 渡过
ꈳ ꉘ | Chinese: 1. adj. 适口；可口
ꈳ ꌣ | Chinese: 1. adv. 精明（麻利）；顺利 | 2. adj. 脆（口感）
ꈳ ꏦ | Chinese: 1. n. (1) 规律 (2) 路规
ꈴ | Chinese: 1. v. (1) 通晓 (2) 遵守 (3) 普及 (4) 过；穿过；经过 (5) 穿；透 | 2. adj. 通顺 | 3. adv. 全；透彻；遍；通
ꈴ ꀜ | Chinese: 1. n. 麦麸
ꈴ ꁱ | Chinese: 1. n. 荞饼
ꈴ ꂷ | Chinese: 1. n. 荞粒
ꈴ ꃪ | Chinese: 1. n. 千层饼（荞麦）
ꈴ ꃺ | Chinese: 1. adj. （因吃苦荞嫩叶而引起皮肤）麻痛
ꈵ ꃴ | Chinese: 1. n. 檐下（文学语）
ꈵ ꆈ | Chinese: 1. n. 苦荞
ꈵ ꇂ ꃴ | Chinese: 1. n. 屋檐下
ꈵ ꌼ | Chinese: 1. n. 杂荞
ꈵ ꏦ | Chinese: 1. n. 安家娃子（指民改前）
ꈷ | Chinese: 1. v. (1) 撞击 (2) 弹（琴等） (3) 碰 (4) 挑；绣（花） (5) 破（竹为四片） (6) 围堵 (7) 擦（火镰）
ꈷ ꂷ | Chinese: 1. n. （绣的）花纹
ꈷ ꌺ ꊐ | Chinese: 1. v. （挑花物上）加小花
ꈹ | Chinese: 1. v. (1) 撵；驱逐 (2) 追赶；撵（野兽） (3) 捕（鱼） (4) 采集（野生植物等） (5) （母羊）发情
ꈹ ꍅ | Chinese: 1. adj. 杂花色（用于鸡和野鸡）
ꈹ ꐛ | Chinese: 1. v. （麻秆）霉烂（因日晒雨淋所致）
ꈺ ꄂ | Chinese: 1. adj. 冰冷（触觉）
ꈺ ꌋ | Chinese: 1. adj. 凉快；凉爽
ꈺ ꍠ | Chinese: 1. adj. 凉爽；凉快
ꈺ ꍠ ꀜ | Chinese: 1. adj. 冰冷（多指饭菜等）
ꈺ ꑌ | Chinese: 1. adj. 舒畅；痛快
ꈺ ꒉ ꑌ | Chinese: 1. v. 贪心不足
ꈻ | Chinese: 1. v. (1) 拉；引 (2) 回家 (3) 收工 (4) 冒出 (5) 隆起 (6) 留 | 2. adj. (1) （天）冷 (2) 酸痛（指牙） (3) 棒；顶好 (4) 浓 | 3. cl. 箍；道；个；圈（箍）
ꈺ | Chinese: 1.  cl. 箍；道；个；圈（箍）
ꈼ | Chinese: 1. v. (1) 念（祈祷经） (2) 议论（人） (3) 诽谤 | 2. n. 头皮屑
ꈼ ꄜ | Chinese: 1. v. 诽谤
ꈼ ꇐ | Chinese: 1. n. 话柄
ꈼ ꋧ | Chinese: 1. v. （背后）诽谤
ꈼ ꍣ | Chinese: 1. v. (1) 评价 (2) 议论
ꈾ | Chinese: 1. n. (1) 荞麦 (2) 瘌（指羊子瘌疥疮） | 2. v. (1) 开；沸（水） (2) （一种皮肤病）
ꈾ ꀖ | Chinese: 1. n. 荞麦饭
ꈾ ꁌ | Chinese: 1. n. 荞糠
ꈾ ꁮ | Chinese: 1. n. 棺材
ꈾ ꃚ | Chinese: 1. n. 荞麦面包；荞粑
ꈾ ꆧ | Chinese: 1. n. 嫩荞叶
ꈾ ꆭ | Chinese: 1. n. 荞面疙瘩（先炒后煮的）
ꈾ ꇢ | Chinese: 1. n. 晚荞（秋荞）
ꈾ ꊞ | Chinese: 1. n. 荞面精粉
ꈾ ꏜ | Chinese: 1. n. (1) 荞麦草 (2) 早荞（春荞）
ꈿ | Chinese: 1. v. 住；过夜；（临时）住宿 | 2. n. 损缝；裂缝（指鸡蛋等） | 3. cl. 条
ꈿ ꁮ | Chinese: 1. v. 有损缝；出现裂缝
ꈿ ꃀ | Chinese: 1. n. 荞面（粉末）
ꈿ ꄂ | Chinese: 1. n. （成片）风疹斑点
ꈿ ꄃ | Chinese: 1. n. 生荞面糊
ꈿ ꅪ | Chinese: 1. n. 桦树
ꈿ ꅫ | Chinese: 1. n. 生荞面团
ꈿ ꆈ | Chinese: 1. n. 黑桦树
ꈿ ꊪ | Chinese: 1. n. 茄子
ꈿ ꋧ ꌺ | Chinese: 1. n. 小红斑点（皮肤病）
ꈿ ꋪ | Chinese: 1. n. 疥疮
ꈿ ꌬ | Chinese: 1. v. 站岗；放哨
ꈿ ꎹ | Chinese: 1. n. 再生荞
ꈿ ꏂ | Chinese: 1. n. 苦荞麦（文学语）
ꈿ ꐔ | Chinese: 1. n. 甜荞
ꉀ | Chinese: 1. v. (1) 插；刺；锥；戳；扎（刺） (2) 反刍 | 2. adv. 向上；往上
ꉀ ꀋ ꑆ | Chinese: 1. adj. 不怜悯
ꉀ ꁮ ꈘ | Chinese: 1. v. 断料（多指反刍动物胃中无食）（文学语）
ꉀ ꎸ | Chinese: 1. n. 肉（指草食动物）
ꉁ ꅉ | Chinese: 1. v. 爱；爱怜
ꉁ ꈾ | Chinese: 1. n. 用具；工具（泛指）
ꉂ | Chinese: 1. v. (1) 爱 (2) 思念；惦念 (3) 以为 | 2. cer. 觉得；认为
ꉂ ꄸ ꍩ ꄸ | Chinese: 1. adj. 不修边幅；蓬头垢面
ꉂ ꇏ ꌋ ꀕ | Chinese: 1. adj. （泛指平面中的隆出点）
ꉂ ꏣ | Chinese: 1. n. 爱情；感情
ꉂ ꐒ ꉂ ꋩ | Chinese: 1. adj. 忧愁烦闷
ꉂ ꐪ | Chinese: 1. n. 友谊；情谊
ꉂ ꑟ ꅑ | Chinese: 1. adj. 可爱的（令人）念想
ꉃ | Chinese: 1. v. (1) 祛 (2) 解除 (3) 矫正；纠正（文学语）
ꉄ ꋖ | Chinese: 1. v. 欺凌
ꉄ ꌎ | Chinese: 1. v. 挑拨；扰乱；惹是生非
ꉅ | Chinese: 1. v. (1) 捡；拣 (2) 碰撞
ꉆ | Chinese: 1. num. 八 | 2. aux. 能够；能；可以 | 3. n. (1) 野兽 (2) 胃 | 4. v. 站；站立
ꉆ ꅉ ꒃ | Chinese: 1. adj. 稳定
ꉆ ꅔ | Chinese: 1. adj. 腹部大
ꉆ ꈥ | Chinese: 1. adj. 肚子空荡荡（指牛、马）
ꉆ ꈹ | Chinese: 1. v. 狩猎
ꉆ ꍰ | Chinese: 1. adj. 肚子鼓鼓的（指牲畜吃得过饱）
ꉆ ꐔ ꁏ | Chinese: 1. v. 翻肠倒肚地骂；翻脸谩骂
ꉆ ꐥ | Chinese: 1. adv. 快点儿；马上；立即；赶快；迅速
ꉆ ꐦ | Chinese: 1. adj. 大肚子；大腹便便
ꉇ ꄅ | Chinese: 1. n. 外部；国外
ꉇ ꄉ | Chinese: 1. v. 除外
ꉇ ꆏ | Chinese: 1. conj. 之后
ꉇ ꇉ | Chinese: 1. n. 山那边；外边；外界
ꉇ ꇓ | Chinese: 1. n. 外面；外部
ꉇ ꈌ | Chinese: 1. n. 艾蒿
ꉇ ꈌ ꃱ ꋯ | Chinese: 1. n. 胡萝卜
ꉇ ꉈ | Chinese: 1. n. 回族
ꉇ ꉈ ꃅ | Chinese: 1. adv. 故意
ꉇ ꉻ | Chinese: 1. n. 外面
ꉈ | Chinese: 1. v. (1) 向左右方向摆；摇；甩 (2) 摆动；摇晃 (3) 靠；依靠 | 2. n. (1) （下）霜 (2) 箭 (3) 外（面） | 3. cl. 次；道 | 4. adv. (1) 为…目的 (2) 专门；单一；特意
ꉇ | Chinese: 1. cl. 次；道
ꉈ ꁈ | Chinese: 1. n. 靠山（依靠）
ꉈ ꁒ | Chinese: 1. v. (1) 心疼；怜悯 (2) 相干
ꉈ ꃅ | Chinese: 1. adv. 专程
ꉈ ꃚ ꑓ ꄜ | Chinese: 1. adj. 沉痛；伤心
ꉈ ꅛ | Chinese: 1. v. 厌烦
ꉈ ꇬ | Chinese: 1. v. (1) 关心 (2) 挂念；惦念
ꉈ ꈻ ꃴ ꆅ | Chinese: 1. v. 嫉妒
ꉈ ꈽ | Chinese: 1. v. 斗争；对着干
ꉈ ꊋ | Chinese: 1. v. 信任；信得过
ꉈ ꊪ | Chinese: 1. adj. 可靠的 | 2. v. 信任；依靠
ꉈ ꊰ | Chinese: 1. adj. 悲观；灰心
ꉈ ꌉ | Chinese: 1. adj. 调皮
ꉈ ꌦ | Chinese: 1. v. 死心；甘心
ꉈ ꍑ | Chinese: 1. v. 鄙视
ꉈ ꏠ | Chinese: 1. adj. 害羞；难为情；不好意思
ꉈ ꏭ | Chinese: 1. n. 外面
ꉈ ꐎ | Chinese: 1. n. 霜
ꉈ ꑌ | Chinese: 1. v. 企图；打算
ꉈ ꑳ | Chinese: 1. adj. 内秀
ꉈ ꑴ | Chinese: 1. adv. 再（又） | 2. conj. 并且；另外
ꉉ | Chinese: 1. v. 讲；说
ꉉ ꀥ ꏿ | Chinese: 1. v. 争执（指争着说话）
ꉉ ꀽ | Chinese: 1. v. 说明；注明
ꉉ ꁱ | Chinese: 1. v. （从中）劝说；调解
ꉉ ꄟ | Chinese: 1. n. 说法
ꉉ ꆎ | Chinese: 1. adj. 能说服；能教育好
ꉉ ꈌ | Chinese: 1. n. (1) 口径 (2) 口才（好）
ꉉ ꈌ ꊎ | Chinese: 1. v. 打岔；插话
ꉉ ꈿ | Chinese: 1. v. 交谈；闲谈；聊天
ꉉ ꋊ | Chinese: 1. v. 解释（指说清问题消除误会）
ꉉ ꑍ ꏿ | Chinese: 1. v. 只说不做
ꉊ | Chinese: 1. v. 勒；捆
ꉊ ꆉ | Chinese: 1. n. 大野兽（指熊、虎、豹等）（文学语）
ꉊ ꇩ | Chinese: 1. adj. （态度）生硬；（态度）粗暴
ꉊ ꈯ | Chinese: 1. n. 镰刀
ꉋ ꄅ | Chinese: 1. n. 外部；国外
ꉌ | Chinese: 1. n. (1) 鼠 (2) 心
ꉌ ꀋ ꌒ | Chinese: 1. adj. 恶心（病态）
ꉌ ꀋ ꒊ | Chinese: 1. v. 疑；不相信
ꉌ ꂅ | Chinese: 1. adj. 烦恼；烦闷
ꉌ ꂵ | Chinese: 1. n. (1) 心脏 (2) 心；思维器官
ꉌ ꂵ ꁏ | Chinese: 1. v. 思念；思乡
ꉌ ꂵ ꁒ | Chinese: 1. adj. （整）伤心；心痛
ꉌ ꂵ ꂄ | Chinese: 1. adj. 善良
ꉌ ꂵ ꇿ | Chinese: 1. adj. 高兴；开心；快乐
ꉌ ꃹ | Chinese: 1. v. 喜欢
ꉌ ꅉ ꂇ | Chinese: 1. n. 地老鼠（与山鼠不同）
ꉌ ꅛ | Chinese: 1. v. 厌烦
ꉌ ꆅ | Chinese: 1. v. 怄气
ꉌ ꆐ ꅑ | Chinese: 1. v. 后悔；失悔
ꉌ ꇑ | Chinese: 1. n. 蝙蝠
ꉌ ꇨ | Chinese: 1. adj. (1) 心肠硬 (2) 坚强
ꉌ ꇿ | Chinese: 1. adj. 高兴；兴奋
ꉌ ꈪ ꊰ | Chinese: 1. adv. 可心
ꉌ ꈲ | Chinese: 1. n. 汉族
ꉌ ꈲ ꉙ | Chinese: 1. n. 汉话；汉语
ꉌ ꊢ | Chinese: 1. adj. 专心；认真
ꉌ ꊨ | Chinese: 1. n. 瘊子
ꉌ ꊭ | Chinese: 1. n. 鸟
ꉌ ꋲ ꀕ | Chinese: 1. adj. 形迹可疑
ꉌ ꋽ ꑓ ꄧ | Chinese: 1. adj. 心明眼亮
ꉌ ꌒ | Chinese: 1. adj. 心情舒畅；愉快
