above | Yi: n. [ꄩ tot]
oppress | Yi: v. [ꇠ gie], [ꈼ mgop], [ꀨ ꇠ bop gie]
or | Yi: conj. [ꀋ ꄸ ap ddie], [ꇬ ꆹ go li], [ꐥ jjo]
orange (color) | Yi: adj. [ꁏ ꀠ pur ba]
orange (fruit) | Yi: n. [ꂶ ꇤ max ga]
orchard | Yi: n. [ꃱ ꃅ vop mu], [ꌩ ꃱ syr vop]
orchid | Yi: n. [ꇉ ꀮ lo bu]
order (command) | Yi: v. [ꂘ hmat], [ꋧ zzyt]
order (arrangement) | Yi: n. [ꄅ ꆹ die li], [ꋑ nyix]
order (sequence) | Yi: n. [ꄅ ꆹ die li]
orderly | Yi: adj. [ꃅ ꏦ mu jie], [ꀋ ꌊ ap six]
ordinary | Yi: adj. [ꎃ ꐚ rrop jji], [ꊋ ꐚ we jji]
organize | Yi: v. [ꇯ ꍝ gux zhy], [ꃅ ꏦ mu jie]
orifice | Yi: n. [ꐬ jjur]
origin | Yi: n. [ꃀ ꅉ mop dde], [ꁮ ꆗ bbu hlit]
original | Yi: adj. [ꀋ ꃀ ap mop], [ꁮ ꅉ bbu dde]
originally | Yi: adv. [ꀋ ꃀ ap mop], [ꁮ ꅉ bbu dde]
originate | Yi: v. [ꃃ ꄜ mut ti], [ꊥ ꂠ zup hmox]
ornament | Yi: n. [ꆧ ꌺ hlop sse], [ꅑ ꃚ ndit fu]
orphan | Yi: n. [ꋦ ꏿ zzur qip], [ꑏ ꏿ nyix qip]
other | Yi: pron. [ꅑ ndit], [ꌌ ꁈ sip po]
otherwise | Yi: conj. [ꀋ ꄸ ap ddie], [ꇬ ꆹ go li]
otter | Yi: n. [ꌩ ꃆ syr mup]
ought | Yi: aux. [ꊂ ꌦ wa sy], [ꄻ ddie]
our | Yi: pron. [ꉢ ꃤ nga vi], [ꉢ ꋊ nga cyt]
ours | Yi: pron. [ꉢ ꃤ nga vi]
ourselves | Yi: pron. [ꉢ ꄂ nga di]
out | Yi: adv. [ꁧ bbo], [ꁌ pu]
outer | Yi: n. [ꁌ ꄅ pu die]
outline | Yi: n. [ꀱ bur], [ꁱ bbur]
outside | Yi: n. [ꁌ ꄅ pu die], [ꁌ pu]
outstretch | Yi: v. [ꋒ zzi]
oven | Yi: n. [ꇤ ꈏ ga kux]
over | Yi: gr. [ꄜ ti], [ꅉ ꄜ dde ti]
overcast | Yi: adj. [ꀀ ꌬ it ssi]
overcome | Yi: v. [ꈽ mgex], [ꑞ xix]
overflow | Yi: v. [ꁌ pu], [ꀠ ꃹ ba vur]
overlook | Yi: v. [ꆈ ꀋ nuo ap], [ꋬ ꈥ zzyr ggop]
overpower | Yi: v. [ꈽ mgex], [ꑞ xix]
oversee | Yi: v. [ꆈ nuo], [ꂿ ꌋ mo si]
overthrow | Yi: v. [ꇤ ga], [ꀠ ba]
overturn | Yi: v. [ꉭ ngep], [ꑊ ꉭ nyit ngep]
owe | Yi: v. [ꁦ ꁧ bbox bbo], [ꈼ mgop]
owing to | Yi: gr. [ꄉ da], [ꄉ ꃅ da mu]
owl | Yi: n. [ꀉ ꆮ ax hlup], [ꆮ hlup]
own | Yi: v. [ꐥ jjo], [ꁨ bbop]
owner | Yi: n. [ꌋ si], [ꌊ ꁈ six po]
ox | Yi: n. [ꀉ ꌺ ax sse], [ꌺ sse]
oyster | Yi: n. [ꃷ vup]
pace | Yi: cl. [ꑭ xy]
pacify | Yi: v. [ꌥ syx]
pack | Yi: v. [ꊐ zip], [ꍮ chex], [ꈉ kop]
package | Yi: n. [ꁧ bbo]
pad | Yi: n. [ꂶ ꏪ max juo]
paddle | Yi: n. [ꈤ ꎸ ggo she]
paddle | Yi: v. [ꈤ ggo]
paddy | Yi: n. [ꋚ ꀧ zza bo]
padlock | Yi: n. [ꎤ ꂷ nrur ma]
page | Yi: cl. [ꁬ bbut]
pail | Yi: n. [ꀧ bo], [ꂶ ꀧ max bo]
pain | Yi: n. [ꆅ na], [ꎬ shax]
painful | Yi: adj. [ꆅ na], [ꎬ shax]
paint | Yi: v. [ꄂ di], [ꑴ yip]
painting | Yi: n. [ꑴ ꁱ yip bbur]
pair | Yi: cl. [ꁈ po], [ꇱ gep], [ꊈ wo]
palate | Yi: n. [ꂱ ꁒ mip py]
pale | Yi: adj. [ꃁ ꀠ mox ba], [ꃶ ꀠ vu ba]
pallid | Yi: [see "pale"]
palm (hand) | Yi: n. [ꇇ ꈂ lot kap], [ꇇ ꀸ lot pit]
palpitate | Yi: v. [ꁓ ꈪ pyp ggut]
pan | Yi: n. [ꁨ ꀧ bbop bo]
panda | Yi: n. [ꀉ ꌺ ax sse]
panic | Yi: n. [ꇷ gur]
pant | Yi: v. [ꑋ nyix], [ꌗ ꎿ sot shur]
papa | Yi: n. [ꀉ ꁧ ax bbo]
paper | Yi: n. [ꁱ bbur], [ꃆ ꁱ mup bbur]
parallel | Yi: adj. [ꊝ zo], [ꐯ ꌟ jjy sux]
parasite | Yi: n. [ꁯ ꄸ bbup ddi]
parcel | Yi: [see "package"]
parch | Yi: v. [ꄔ dut], [ꅢ ndut]
pardon | Yi: v. [ꁌ ꄝ pu tip]
pare | Yi: v. [ꄌ duo], [ꌔ sit]
parent | Yi: n. [ꀉ ꂿ ax mo], [ꀉ ꁧ ax bbo]
parents | Yi: n. [ꀉ ꂿ ꀉ ꁧ ax mo ax bbo], [ꀉ ꁌ ax pu]
park | Yi: n. [ꅔ ndip], [ꃱ ꃅ vop mu]
part | Yi: n. [ꁁ pa], [ꁁ ꆈ pa nuo], [ꊐ zip]
part | Yi: v. [ꁁ pa], [ꋲ nzie]
participate | Yi: v. [ꐊ qo], [ꐯ ꐉ jjy qox]
particle | Yi: n. [ꌗ ꏿ sot qip]
particular | Yi: adj. [ꄂ ꆼ di liex]
particularly | Yi: adv. [ꈜ ꀕ gga w], [ꀋ ꉬ ap nge]
partition | Yi: n. [ꁁ pa]
partner | Yi: n. [ꈭ ggup]
party (group) | Yi: n. [ꊈ wo], [ꁥ bbot]
pass | Yi: v. [ꒉ yy], [ꑇ njyp], [ꄣ ta], [ꏮ jo]
pass away | Yi: v. [ꌉ sit], [ꀑ ꇬ o go]
pass by | Yi: v. [ꄣ ta]
passage | Yi: n. [ꄑ dex], [ꉺ ꇤ hox ga]
passenger | Yi: n. [ꋑ ꌺ nyix sse]
passer-by | Yi: n. [ꄣ ꌺ ta sse]
past | Yi: adv. [ꀊ ꆨ a hlex], [ꀋ ꉊ ap hxiet]
paste | Yi: n. [ꑗ nyo]
paste | Yi: v. [ꑕ nyot]
pasture | Yi: n. [ꅔ ndip], [ꆫ ꅔ hlut ndip]
pat | Yi: v. [ꅥ ndup]
patch | Yi: v. [ꅋ ddut], [ꅋ ꑕ ddut nyot]
path | Yi: n. [ꇤ ga], [ꉺ ꇤ hox ga]
patience | Yi: n. [ꉌ ꂵ hxie mat]
patient (adj) | Yi: adj. [ꉌ ꂵ hxie mat]
patient (medical) | Yi: n. [ꆅ ꌺ na sse]
patrol | Yi: v. [ꋑ ꁧ nyix bbo]
pattern | Yi: n. [ꀱ bur], [ꁱ bbur], [ꆈ ꁱ nuo bbur]
pause | Yi: v. [ꄃ dip], [ꄗ dup]
pave | Yi: v. [ꂱ mip]
paw | Yi: n. [ꑭ xy], [ꑬ ꈁ xyx ka]
pawn | Yi: v. [ꀱ bur]
pay | Yi: v. [ꁳ bbyx], [ꁵ bbyp]
pay back | Yi: v. [ꊫ zyp]
pea | Yi: n. [ꀉ ꑙ ax nyut]
peace | Yi: n. [ꄮ te], [ꀨ ꀕ bop w]
peaceful | Yi: adj. [ꀨ ꀕ bop w], [ꄮ te]
peach | Yi: n. [ꐁ ꀮ qiep bu]
peacock | Yi: n. [ꌴ ꅪ ssap hni]
peak | Yi: n. [ꀊ ꂥ a hmu], [ꋩ ꃅ zzy mu]
peanut | Yi: n. [ꃅ ꎃ mu rrop]
pear | Yi: n. [ꀐ ꀮ ox bu]
pearl | Yi: n. [ꇓ ꋤ lur zzup]
peasant | Yi: n. [ꃄ ꅉ ꑌ mux dde nyi]
pebble | Yi: n. [ꇓ ꎓ lur rryr]
peck | Yi: v. [ꑝ xit], [ꄧ tuo]
peculiar | Yi: adj. [ꋑ ꀜ nyix bie], [ꄂ ꆼ di liex]
peddle | Yi: v. [ꆹ li]
pedigree | Yi: [see "genealogy"]
peel | Yi: v. [ꄌ duo], [ꌔ sit], [ꆴ hlyp]
peep | Yi: v. [ꌚ sop]
peer | Yi: v. [ꆈ nuo]
peg | Yi: n. [ꆐ ꎸ nep she]
peg | Yi: v. [ꆐ nep]
pelt | Yi: n. [ꆭ hlu], [ꑅ ꇷ njyx gur]
pen (writing) | Yi: n. [ꁱ ꌤ bbur syt]
pen (enclosure) | Yi: n. [ꑳ yi]
pencil | Yi: n. [ꁱ ꌤ bbur syt]
penetrate | Yi: v. [ꏣ jip], [ꋉ cur]
penis | Yi: n. [ꑲ yix]
people | Yi: n. [ꊿ co], [ꉹ ꁌ hot pu], [ꁌ pu]
pepper | Yi: n. [ꋐ zzit], [ꎭ ꋐ sha zzit]
perceive | Yi: v. [ꅉ ꐚ dde jji], [ꌧ syp]
perch | Yi: v. [ꄗ dup], [ꀜ bie]
perchance | Yi: [see "perhaps"]
perfect | Yi: adj. [ꐕ qyp], [ꐛ ꑆ jjip njy]
perforate | Yi: v. [ꏣ jip], [ꐬ jjur]
perform | Yi: v. [ꃅ mu], [ꑘ ꃅ nyop mu]
perfume | Yi: n. [ꃅ ꅿ mu ni]
perhaps | Yi: cer. [ꇚ git], [ꋭ nzit], [ꏭ ꁮ jox bbu]
period | Yi: n. [ꉈ hxi], [ꇅ luo], [ꈚ ggat]
perish | Yi: v. [ꌉ sit], [ꀑ ꇬ o go]
permanent | Yi: adj. [ꐥ ꋊ jjo cyt]
permit | Yi: v. [ꄻ ddie], [ꎽ shup]
perplex | Yi: v. [ꁉ ꑣ pop xie]
perplexed | Yi: adj. [ꁉ ꑣ pop xie]
persevere | Yi: v. [ꄷ ꋌ ddix cy]
persist | Yi: v. [ꄷ ꋌ ddix cy]
person | Yi: n. [ꊿ co], [ꁌ pu]
personal | Yi: adj. [ꀃ ꅉ ip dde], [ꄂ ꆼ di liex]
personally | Yi: adv. [ꀃ ꅉ ip dde]
perspiration | Yi: n. [ꈜ ꒉ gga yy]
perspire | Yi: v. [ꈜ gga]
persuade | Yi: v. [ꁒ py], [ꉙ hxop]
pest | Yi: n. [ꁯ ꄸ bbup ddi]
pester | Yi: v. [ꋣ ꌉ zzu sit]
pestle | Yi: n. [ꄁ ꀺ dix pi]
petal | Yi: n. [ꀮ ꏾ bu qi]
petition | Yi: v. [ꑗ ꇖ nyo ly]
petty | Yi: adj. [ꀁ ꑌ ix nyi], [ꑆ njy]
phantom | Yi: [see "ghost"]
pheasant | Yi: n. [ꀉ ꅪ ax hni], [ꅪ hni]
phlegm | Yi: n. [ꁮ ꈔ bbu ggit], [ꁮ ꑍ bbu nyip]
photograph | Yi: n. [ꑴ ꁱ yip bbur]
physician | Yi: n. [ꀽ ꌋ pie si]
pick | Yi: v. [ꎴ sho], [ꋒ ꋩ zzi zzy], [ꒇ ꋩ yyt zzy], [ꐀ qiet]
pick up | Yi: v. [ꐔ qy], [ꒃ yu]
picture | Yi: n. [ꁱ bbur], [ꑴ ꁱ yip bbur]
piece | Yi: n. [ꁁ pa], [ꁁ ꆈ pa nuo], [ꈘ ꆽ ggie lie]
pierce | Yi: v. [ꏣ jip], [ꐬ jjur]
pig | Yi: n. [ꀉ ꋋ ax cyx], [ꋋ cyx]
pigeon | Yi: n. [ꁱ ꒈ bbur yyx]
piglet | Yi: n. [ꋋ ꌺ cyx sse]
pigsty | Yi: n. [ꋋ ꁇ cyx pox], [ꋋ ꑳ cyx yi]
pile | Yi: n. [ꁧ bbo], [ꈉ kop], [ꉻ ho]
pile | Yi: v. [ꆙ hli], [ꈉ kop]
pilfer | Yi: v. [ꈔ ggit]
pill | Yi: n. [ꁬ ꋌ bbut cy]
pillar | Yi: n. [ꆸ lix], [ꆸ ꃀ lix mop]
pillow | Yi: n. [ꀂ ꏾ ꈌ i qi ke]
pimple | Yi: n. [ꀙ ꁇ bip pox], [ꀙ bip]
pin | Yi: n. [ꐎ qu]
pin | Yi: v. [ꆐ nep], [ꐎ qu]
pinch | Yi: v. [ꌃ nzyt], [ꐩ jju]
pine | Yi: n. [ꊋ ꌩ we syr]
pink | Yi: adj. [ꃁ ꀠ mox ba]
pipe | Yi: n. [ꏁ ꀧ shyx bo]
pistol | Yi: n. [ꅳ ꍩ hnap chot]
pit | Yi: n. [ꐬ jjur], [ꃅ ꐬ mu jjur]
pit (seed) | Yi: n. [ꈯ ꄜ ggur ti]
pitch | Yi: v. [ꍞ zhyp]
pitcher | Yi: n. [ꀧ bo]
pith | Yi: n. [ꀉ ꏵ ax jur], [ꈯ ꄜ ggur ti]
pitiable | Yi: adj. [ꇧ ꀠ guox bba]
pitiful | Yi: [see "pitiable"]
pity | Yi: n. [ꎭ ꐪ sha jjup]
pity | Yi: v. [ꉂ mgu]
place | Yi: n. [ꄹ ddip], [ꈚ ggat], [ꋑ ꅉ nyix dde]
place | Yi: v. [ꃛ fup], [ꉼ hop], [ꄳ tup]
plague | Yi: n. [ꆅ ꏪ na juo]
plain (simple) | Yi: adj. [ꎃ ꐚ rrop jji], [ꋊ ꋊ cyt cyt]
plain (flat land) | Yi: n. [ꅔ ndip], [ꃄ ꅉ mux dde]
plait | Yi: v. [ꄝ tip], [ꄘ durx]
plan | Yi: n. [ꉪ ꐪ ngop jjup], [ꃄ ꄟ mux tie]
plan | Yi: v. [ꉂ mgu], [ꏢ ji]
plane (flat) | Yi: adj. [ꐽ njo], [ꐼ ꇉ njox lo]
plane (tool) | Yi: n. [ꌆ ꌤ nzyp syt]
plank | Yi: n. [ꌩ ꄹ syr ddip]
plant | Yi: n. [ꁬ bbut]
plant | Yi: v. [ꋦ zzur], [ꃹ vur], [ꃹ ꂷ vur ma]
plate | Yi: n. [ꁮ ꇉ bbu lo]
play | Yi: v. [ꎷ shex], [ꁈ ꎷ po shex]
play (drama) | Yi: n. [ꎷ ꅍ shex ddu]
plead | Yi: v. [ꑗ ꇖ nyo ly]
pleasant | Yi: adj. [ꉾ he], [ꂄ nbop], [ꌒ sa]
please | Yi: v. [ꂿ ꈬ mo ggu]
pleased | Yi: adj. [ꇿ kat], [ꌒ sa]
pleasing | Yi: [see "pleasant"]
pleasure | Yi: n. [ꈩ ggep]
pledge | Yi: v. [ꄷ ꃄ ddix mux]
plentiful | Yi: adj. [ꀉ ꑌ ax nyi], [ꊋ ꒉ we yy]
plenty | Yi: adv. [ꀉ ꑌ ax nyi], [ꊋ ꒉ we yy]
plot (scheme) | Yi: n. [ꉪ ꐪ ngop jjup]
plot (land) | Yi: n. [ꃄ ꅉ mux dde]
plow | Yi: n. [ꆿ lat], [ꆿ ꃀ lat mop]
plow | Yi: v. [ꆿ lat]
pluck | Yi: v. [ꎴ sho], [ꒇ ꋩ yyt zzy], [ꇚ git]
plug | Yi: v. [ꂱ mip], [ꋉ cur]
plum | Yi: n. [ꁈ ꀮ po bu]
plump | Yi: adj. [ꃹ ꂵ vur mat], [ꃹ ꁧ vur bbo]
plunder | Yi: v. [ꈔ ggit]
plunge | Yi: v. [ꑋ nyix], [ꁌ pu], [ꍘ zhup]
pocket | Yi: n. [ꁇ pox]
pod | Yi: n. [ꁌ ꀖ pu bit]
poem | Yi: n. [ꁮ ꁌ ꁮ ꅉ bbu pu bbu dde]
poetry | Yi: [see "poem"]
point (sharp end) | Yi: n. [ꀉ ꑐ ax nyie]
point (indicate) | Yi: v. [ꄂ di], [ꄜ ti]
point out | Yi: v. [ꄂ di], [ꄜ ti]
pointed | Yi: adj. [ꀉ ꑐ ax nyie]
poison | Yi: n. [ꃚ fu], [ꃚ ꋌ fu cy]
poison | Yi: v. [ꃚ fu]
poisonous | Yi: adj. [ꃚ fu], [ꃚ ꋌ fu cy]
poke | Yi: v. [ꎛ nrip], [ꏣ jip]
pole | Yi: n. [ꆸ lix], [ꆸ ꃀ lix mop]
polish | Yi: v. [ꌆ nzyp], [ꀨ bop]
polite | Yi: adj. [ꉌ ꂵ ꂄ hxie mat nbop], [ꃶ ꀖ vu bit]
pollen | Yi: n. [ꀮ ꀍ bu uo]
pollute | Yi: v. [ꃙ fux]
pomegranate | Yi: n. [ꌩ ꀮ syr bu]
pond | Yi: n. [ꎾ shurx], [ꎿ shur]
ponder | Yi: v. [ꄤ tap], [ꉂ mgu]
pool | Yi: [see "pond"]
poor | Yi: adj. [ꇧ guox], [ꇧ ꀠ guox bba]
pop | Yi: v. [ꇷ ꁱ gur bbur]
poplar | Yi: n. [ꐎ ꀮ qu bu]
population | Yi: n. [ꊿ co]
porcupine | Yi: n. [ꀠ ꃺ ba vyt]
pore | Yi: n. [ꎸ ꐬ she jjur]
pork | Yi: n. [ꋋ ꎸ cyx she]
porridge | Yi: n. [ꋚ ꒉ zza yy], [ꌩ ꒉ syr yy]
portion | Yi: n. [ꁁ pa], [ꁁ ꆈ pa nuo]
portrait | Yi: n. [ꑴ ꁱ yip bbur]
position | Yi: n. [ꄹ ddip], [ꈚ ggat]
possess | Yi: v. [ꐥ jjo], [ꁨ bbop]
possessive | Yi: n. [ꃤ ꁥ vi bbot]
possible | Yi: cer. [ꇚ git], [ꋭ nzit], [ꊋ ꒉ we yy]
possibly | Yi: [see "possible"]
post (pole) | Yi: n. [ꆸ lix]
post (position) | Yi: n. [ꄹ ddip]
posterity | Yi: n. [ꏿ ꁧ qip bbo]
postpone | Yi: v. [ꊁ ꊰ wax ci]
pot | Yi: n. [ꀧ bo], [ꁨ ꀧ bbop bo]
pottery | Yi: n. [ꇓ ꁧ lur bbo]
pouch | Yi: n. [ꁇ pox]
poultry | Yi: n. [ꅐ ꅑ ddur ndit], [ꃬ va]
pounce | Yi: v. [ꉆ ꌋ hxit si]
pound | Yi: v. [ꀨ bop], [ꄁ dix], [ꅥ ndup]
pour | Yi: v. [ꁌ pu], [ꁉ pop], [ꄖ dux], [ꌋ ꅐ si ddur]
poverty | Yi: n. [ꇧ ꀠ guox bba]
powder | Yi: n. [ꁈ ꎸ po she]
power | Yi: n. [ꊋ ꃤ we vi], [ꈜ ꒉ gga yy]
powerful | Yi: adj. [ꈜ ꒉ gga yy], [ꐕ qyp]
practice | Yi: v. [ꀞ bat], [ꃅ mu]
practise | Yi: [see "practice"]
prairie | Yi: [see "grassland"]
praise | Yi: v. [ꑬ ꑻ xy yuo], [ꑬ ꌕ xy syop], [ꆈ ꑊ nuo nyit]
pray | Yi: v. [ꑗ ꇖ nyo ly], [ꂡ ꌙ hmo so]
prayer | Yi: n. [ꃄ ꅇ mux ddop]
preach | Yi: v. [ꁒ py], [ꊂ ꁧ wa bbo]
precede | Yi: v. [ꅉ ꃀ dde mop]
precious | Yi: adj. [ꁦ ꒉ bbox yy], [ꆈ nuo]
precise | Yi: adj. [ꌬ ssi], [ꄇ ꇁ dat la]
predicate | Yi: n. [ꊈ ꁥ wo bbot]
predict | Yi: v. [ꄤ tap], [ꉘ ꇉ hxo lo]
prefer | Yi: v. [ꂿ ꈬ mo ggu]
prefix | Yi: n. [ꃚ ꌺ fu sse]
pregnant | Yi: adj. [ꐛ ꃹ jjip vur], [ꀺ ꃹ pi vur]
prepare | Yi: v. [ꀞ bat], [ꈤ ggo]
preposition | Yi: n. [ꄉ ꁥ da bbot]
present (current) | Yi: adj. [ꀃ ꌋ ip si], [ꀃ ꃀ ip mop]
present (gift) | Yi: n. [ꈁ ꁠ ka bba], [ꈌ ꆹ ke li]
present (give) | Yi: v. [ꁳ bbyx], [ꁵ bbyp]
presently | Yi: adv. [ꀃ ꌋ ip si], [ꉆ ꐥ hxit jjo]
preserve | Yi: v. [ꈯ ggur], [ꐏ qup]
press | Yi: v. [ꇠ gie], [ꂱ mip], [ꊛ zot]
presume | Yi: v. [ꄤ tap], [ꉂ mgu]
pretend | Yi: v. [ꃔ fap]
pretty | Yi: adj. [ꉜ ꌒ hxep sa], [ꑵ ꌆ yiet nzyp]
prevail | Yi: v. [ꈽ mgex], [ꑞ xix]
prevent | Yi: v. [ꁁ ꀕ pa w], [ꄯ tep], [ꈯ ggur]
previous | Yi: adj. [ꀋ ꉊ ap hxiet], [ꀊ ꆨ a hlex]
previously | Yi: adv. [ꀋ ꉊ ꃀ ap hxiet mop]
price | Yi: n. [ꁦ ꃀ bbox mop], [ꆹ ꁦ li bbox]
prick | Yi: v. [ꏣ jip], [ꄧ tuo]
prickle | Yi: n. [ꀉ ꑐ ax nyie]
principal | Yi: adj. [ꀋ ꉬ ap nge], [ꀋ ꂿ ap mo]
principle | Yi: n. [ꆹ ꇐ li lu], [ꄾ ꎂ ddax rro]
print | Yi: v. [ꐐ qux], [ꑴ yip]
prior | Yi: [see "previous"]
prison | Yi: n. [ꏦ ꑳ jie yi]
prisoner | Yi: n. [ꏦ ꌺ jie sse]
private | Yi: adj. [ꀃ ꅉ ip dde], [ꄂ ꆼ di liex]
prize | Yi: n. [ꈁ ꁠ ka bba]
probable | Yi: [see "likely"]
probably | Yi: cer. [ꋭ nzit], [ꏭ ꐛ jox jjip]
probe | Yi: v. [ꏃ shyp], [ꉃ mgup]
problem | Yi: n. [ꃣ ꈌ vix ke], [ꅇ ꈌ ddop ke]
proceed | Yi: v. [ꁧ bbo], [ꒉ yy]
process | Yi: n. [ꄟ tie], [ꃄ ꄟ mux tie]
proclaim | Yi: v. [ꀠ ba], [ꃑ fat]
procure | Yi: [see "obtain"]
prod | Yi: v. [ꎛ nrip], [ꏣ jip]
produce | Yi: v. [ꃅ mu], [ꅑ ꁧ ndit bbo], [ꊥ ꂠ zup hmox]
profession | Yi: [see "occupation"]
profit | Yi: n. [ꁦ ꎆ bbox rre]
progeny | Yi: [see "offspring"]
progress | Yi: v. [ꀒ ꁨ op bbop]
prohibit | Yi: v. [ꏢ ji], [ꁁ ꀕ pa w]
promise | Yi: v. [ꄷ ꃄ ddix mux]
promote | Yi: v. [ꐏ qup], [ꆷ lit]
prompt | Yi: adj. [ꇨ ꊸ guo ca], [ꊸ ca]
promptly | Yi: adv. [ꉆ ꐥ hxit jjo]
pronoun | Yi: n. [ꃚ ꅇ fu ddop]
pronounce | Yi: v. [ꂘ hmat], [ꀠ ba]
proof | Yi: n. [ꌐ sat], [ꌐ ꂷ sat ma]
prop | Yi: v. [ꋒ zzi], [ꆿ lat], [ꉈ hxi]
propagate | Yi: v. [ꃶ ꒉ vu yy], [ꄀ dit]
proper | Yi: adj. [ꄮ te], [ꊝ zo]
property | Yi: n. [ꀨ ꊰ bop ci], [ꀙ bip]
prophesy | Yi: [see "predict"]
propose | Yi: v. [ꄜ ti], [ꉪ ꐪ ngop jjup]
prosper | Yi: v. [ꁦ ꎆ bbox rre]
prosperous | Yi: adj. [ꁦ ꒉ bbox yy]
prostrate | Yi: v. [ꄚ tit]
protect | Yi: v. [ꈯ ggur], [ꐏ qup], [ꈿ ꌬ mgep ssi]
protest | Yi: v. [ꀐ ꆹ ox li]
proud | Yi: adj. [ꑼ yix]
prove | Yi: v. [ꌐ ꄀ sat dit]
proverb | Yi: n. [ꅺ ꃶ ꅉ hne vu dde], [ꁮ ꁌ ꁮ ꅉ bbu pu bbu dde]
provide | Yi: v. [ꁳ bbyx], [ꁵ bbyp]
provided that | Yi: conj. [ꀋ ꄸ ap ddie]
provoke | Yi: v. [ꃶ vu], [ꊢ zut]
prune | Yi: v. [ꄌ duo], [ꌔ sit]
pry | Yi: v. [ꌚ sop], [ꉉ hxip]
public | Yi: adj. [ꎃ ꐚ rrop jji]
publicly | Yi: adv. [ꄇ ꇁ dat la]
publish | Yi: v. [ꃑ fat], [ꐐ qux]
puddle | Yi: n. [ꎾ shurx]
puff | Yi: v. [ꁉ pop], [ꂨ hmur], [ꌗ ꎿ sot shur]
pull | Yi: v. [ꇚ git], [ꎑ rryp]
pulp | Yi: n. [ꁈ ꎸ po she]
pulsate | Yi: v. [ꁓ ꈪ pyp ggut]
pulse | Yi: n. [ꈜ ꁓ gga pyp]
pulverize | Yi: v. [ꀨ bop], [ꋧ ꅐ zzyt ddur]
pump | Yi: v. [ꁉ pop]
pumpkin | Yi: n. [ꆃ ꇤ niep ga]
punch | Yi: v. [ꅥ ndup]
puncture | Yi: v. [ꏣ jip], [ꐬ jjur]
punish | Yi: v. [ꀙ bip], [ꁉ pop]
punishment | Yi: n. [ꀙ bip]
pupil (student) | Yi: n. [ꇮ ꌺ get sse]
pupil (eye) | Yi: n. [ꑓ ꁨ nyuo bbop], [ꑓ ꂱ nyuo mip]
puppy | Yi: n. [ꈌ ꌺ ke sse]
purchase | Yi: v. [ꆹ li], [ꁦ ꎆ bbox rre]
pure | Yi: adj. [ꐝ jjiex], [ꑬ ꏻ xyx jyr]
purify | Yi: v. [ꐝ ꌬ jjiex ssi]
purple | Yi: adj. [ꃁ ꆧ mox hlop]
purpose | Yi: n. [ꏣ ꑊ ngop jip], [ꉪ ꐪ ngop jjup]
purposely | Yi: adv. [ꄂ ꅉ di dde]
purse | Yi: n. [ꁇ pox], [ꎆ ꁇ rre pox]
pursue | Yi: v. [ꁧ bbo], [ꎹ shep], [ꋑ ꁧ nyix bbo]
pus | Yi: n. [ꁮ ꈔ bbu ggit]
push | Yi: v. [ꂫ hmyp], [ꌗ sot], [ꅐ ddur], [ꎛ nrip]
put | Yi: v. [ꃛ fup], [ꉼ hop], [ꄳ tup], [ꏀ shyt]
put away | Yi: v. [ꊏ zi]
put down | Yi: v. [ꏀ shyt]
put on | Yi: v. [ꆹ li], [ꇁ la]
put out | Yi: v. [ꁫ bbut], [ꁌ pu]
puzzle | Yi: v. [ꁉ ꑣ pop xie]
puzzled | Yi: adj. [ꁉ ꑣ pop xie]
python | Yi: n. [ꀮ ꆪ bu hlep]
quack | Yi: v. [ꇷ ꁱ gur bbur]
quagmire | Yi: n. [ꑗ ꇓ nyo lur]
quail | Yi: n. [ꀉ ꅪ ax hni]
quake | Yi: v. [ꁓ pyp], [ꄹ ꁓ ddip pyp]
quality | Yi: n. [ꁱ ꋊ bbur cyt], [ꏠ jit]
quantity | Yi: n. [ꀉ ꑌ ax nyi], [ꌗ ꂷ sot ma]
quarrel | Yi: n. [ꁉ pop], [ꑻ yuo]
quarrel | Yi: v. [ꑻ yuo], [ꁉ pop]
quarrelsome | Yi: adj. [ꁉ ꑣ pop xie]
quarter | Yi: n. [ꁁ ꁈ pa po]
quaver | Yi: v. [ꁓ pyp]
queer | Yi: adj. [ꋑ ꀜ nyix bie]
quell | Yi: v. [ꌥ syx], [ꁁ ꀕ pa w]
quench | Yi: v. [ꁫ bbut], [ꌥ syx]
query | Yi: n. [ꅇ ꈌ ddop ke]
query | Yi: v. [ꃣ vix], [ꃣ ꈌ vix ke]
quest | Yi: n. [ꉃ mgup]
question | Yi: n. [ꅇ ꈌ ddop ke], [ꃣ ꈌ vix ke]
question | Yi: v. [ꃣ vix], [ꃣ ꈌ vix ke]
queue | Yi: n. [ꄅ ꆹ die li]
quick | Yi: adj. [ꇨ ꊸ guo ca], [ꊸ ca], [ꀑ ꁮ o bbu]
quickly | Yi: adv. [ꊸ ca], [ꉆ ꐥ hxit jjo]
quiet | Yi: adj. [ꀨ ꀕ bop w], [ꌒ sa], [ꃶ ꀕ vu w]
quiet | Yi: v. [ꌥ syx]
quietly | Yi: adv. [ꃶ ꀕ vu w]
quill | Yi: n. [ꀮ ꏾ bu qi]
quilt | Yi: n. [ꈁ ꏾ ka qi]
quit | Yi: v. [ꌖ sop], [ꁧ bbo], [ꊁ wax]
quite | Yi: adv. [ꀉ ꑌ ax nyi], [ꀋ ꉬ ap nge]
